Time,Channel A,Channel B
(s),(mV),(mV)

0.00000000,292.82510000,105.82600000
0.00050000,292.82510000,104.03760000
0.00100000,292.82510000,107.62050000
0.00150000,288.32360000,104.03760000
0.00200000,283.80690000,104.03760000
0.00250000,270.30240000,105.82600000
0.00300000,252.28120000,102.24920000
0.00350000,283.80690000,100.46080000
0.00400000,270.30240000,100.46080000
0.00450000,261.28420000,102.24920000
0.00500000,261.28420000,100.46080000
0.00550000,270.30240000,100.46080000
0.00600000,252.28120000,102.24920000
0.00650000,274.80390000,102.24920000
0.00700000,247.77980000,102.24920000
0.00750000,252.28120000,102.24920000
0.00800000,283.80690000,104.03760000
0.00850000,283.80690000,104.03760000
0.00900000,274.80390000,105.82600000
0.00950000,270.30240000,105.82600000
0.01000000,292.82510000,107.62050000
0.01050000,283.80690000,107.62050000
0.01100000,283.80690000,107.62050000
0.01150000,292.82510000,107.62050000
0.01200000,265.80090000,104.03760000
0.01250000,261.28420000,104.03760000
0.01300000,225.25710000,102.24920000
0.01350000,256.78270000,104.03760000
0.01400000,256.78270000,102.24920000
0.01450000,256.78270000,100.46080000
0.01500000,243.27830000,102.24920000
0.01550000,274.80390000,100.46080000
0.01600000,261.28420000,100.46080000
0.01650000,265.80090000,100.46080000
0.01700000,274.80390000,102.24920000
0.01750000,274.80390000,104.03760000
0.01800000,243.27830000,104.03760000
0.01850000,274.80390000,107.62050000
0.01900000,256.78270000,104.03760000
0.01950000,288.32360000,105.82600000
0.02000000,283.80690000,107.62050000
0.02050000,292.82510000,107.62050000
0.02100000,283.80690000,105.82600000
0.02150000,283.80690000,105.82600000
0.02200000,283.80690000,104.03760000
0.02250000,247.77980000,102.24920000
0.02300000,274.80390000,102.24920000
0.02350000,270.30240000,100.46080000
0.02400000,238.76160000,100.46080000
0.02450000,265.80090000,102.24920000
0.02500000,220.75560000,102.24920000
0.02550000,256.78270000,102.24920000
0.02600000,252.28120000,100.46080000
0.02650000,238.76160000,102.24920000
0.02700000,283.80690000,102.24920000
0.02750000,274.80390000,104.03760000
0.02800000,279.30540000,105.82600000
0.02850000,283.80690000,105.82600000
0.02900000,252.28120000,107.62050000
0.02950000,261.28420000,107.62050000
0.03000000,306.34480000,109.40890000
0.03050000,288.32360000,105.82600000
0.03100000,256.78270000,104.03760000
0.03150000,283.80690000,105.82600000
0.03200000,288.32360000,104.03760000
0.03250000,274.80390000,102.24920000
0.03300000,279.30540000,100.46080000
0.03350000,256.78270000,102.24920000
0.03400000,270.30240000,100.46080000
0.03450000,274.80390000,102.24920000
0.03500000,265.80090000,100.46080000
0.03550000,265.80090000,100.46080000
0.03600000,265.80090000,102.24920000
0.03650000,283.80690000,102.24920000
0.03700000,238.76160000,102.24920000
0.03750000,279.30540000,104.03760000
0.03800000,288.32360000,104.03760000
0.03850000,265.80090000,107.62050000
0.03900000,288.32360000,105.82600000
0.03950000,270.30240000,104.03760000
0.04000000,274.80390000,105.82600000
0.04050000,283.80690000,104.03760000
0.04100000,270.30240000,105.82600000
0.04150000,265.80090000,105.82600000
0.04200000,265.80090000,104.03760000
0.04250000,261.28420000,102.24920000
0.04300000,247.77980000,102.24920000
0.04350000,229.75860000,102.24920000
0.04400000,234.26010000,102.24920000
0.04450000,234.26010000,100.46080000
0.04500000,270.30240000,100.46080000
0.04550000,279.30540000,100.46080000
0.04600000,274.80390000,102.24920000
0.04650000,283.80690000,100.46080000
0.04700000,283.80690000,104.03760000
0.04750000,270.30240000,102.24920000
0.04800000,265.80090000,105.82600000
0.04850000,301.82800000,104.03760000
0.04900000,301.82800000,105.82600000
0.04950000,288.32360000,109.40890000
0.05000000,288.32360000,105.82600000
0.05050000,288.32360000,105.82600000
0.05100000,288.32360000,104.03760000
