file name, L_c(m), L_c error (m), ls linewidth (m), ls error (m), fft linewidth(m), fft error(m)
BlueLED1.csv, 2.403e-05, 8.812e-07, 7.938e-09, 1.082e-09, 7.427e-09, 1.891e-09
BlueLED2.csv, 3.353e-05, 1.770e-06, 5.894e-09, 4.860e-10, 5.799e-09, 5.998e-10
BlueLED3(noisy).csv, 2.143e-05, 1.083e-06, 8.997e-09, 6.385e-10, 8.720e-09, 6.897e-10
BlueLED4.csv, 3.528e-05, 1.824e-06, 5.417e-09, 9.974e-10, 5.812e-09, 1.428e-09
Lamp1.csv, 1.276e-05, 1.155e-06, 4.360e-08, 9.363e-09, 4.693e-08, 1.934e-08
Lamp1.csv, 1.276e-05, 1.155e-06, 4.360e-08, 9.363e-09, 4.693e-08, 1.934e-08
Lamp2.csv, 1.165e-05, 1.141e-06, 4.788e-08, 1.437e-08, 4.735e-08, 1.959e-08
Lamp3.csv, 1.091e-05, 5.130e-07, 5.553e-08, 1.221e-08, 4.905e-08, 1.661e-08
Lamp4.csv, 2.686e-05, 1.293e-05, 1.991e-08, 1.048e-08, 1.795e-08, 1.126e-08
Orange1.csv, 4.136e-04, 2.659e-03, 8.178e-10, 5.257e-09, 8.263e-10, 5.313e-09
Orange2.csv, 5.140e-05, 4.032e-06, 6.328e-09, 5.891e-10, 6.200e-09, 5.755e-10
Orange3.csv, 3.838e-05, 2.305e-06, 8.973e-09, 7.536e-10, 8.614e-09, 7.165e-10
Orange4.csv, 8.065e-05, 1.432e-05, 3.870e-09, 7.034e-10, 3.734e-09, 1.367e-09
Orange5.csv, 5.010e-05, 3.992e-06, 6.656e-09, 6.442e-10, 6.581e-09, 6.358e-10
RedLEDBox1.csv, 4.871e-05, 1.759e-06, 6.840e-09, 3.920e-10, 6.953e-09, 5.690e-10
RedLEDBox2.csv, 3.175e-05, 2.225e-06, 9.402e-09, 8.389e-10, 9.429e-09, 9.250e-10
RedLEDBox3(best).csv, 3.796e-05, 2.205e-06, 8.855e-09, 6.734e-10, 8.839e-09, 1.176e-09
RedLEDBox4.csv, 3.012e-05, 1.409e-06, 9.844e-09, 6.323e-10, 9.883e-09, 1.156e-09
WhiteBulb1.csv, 7.842e-05, 2.763e-05, 3.085e-09, 1.248e-09, 3.190e-09, 1.246e-09
WhiteBulb2.csv, 4.481e-05, 3.535e-06, 7.266e-09, 3.044e-09, 4.721e-09, 1.473e-09
WhiteBulb3.csv, 2.178e-02, 2.490e+02, 1.242e-11, 1.420e-07, 8.848e-12, 1.012e-07
WhiteBulb4.csv, 3.508e-05, 2.228e-06, 1.002e-08, 4.286e-09, 7.939e-09, 3.526e-09
