Time,Channel A
(s),(mV)
,
0,61.51921
0.0005,30.86642
0.001,29.06583
0.0015,41.68828
0.002,56.11133
0.0025,63.31981
0.003,29.06583
0.0035,36.2804
0.004,54.30463
0.0045,59.71251
0.005,56.11133
0.0055,29.06583
0.006,43.48888
0.0065,54.30463
0.007,57.91192
0.0075,29.06583
0.008,32.67311
0.0085,52.50404
0.009,57.91192
0.0095,48.89676
0.01,29.06583
0.0105,50.70345
0.011,52.50404
0.0115,61.51921
0.012,29.06583
0.0125,34.47371
0.013,54.30463
0.0135,59.71251
0.014,29.06583
0.0145,29.06583
0.015,43.48888
0.0155,57.91192
0.016,63.31981
0.0165,27.26524
0.017,30.86642
0.0175,52.50404
0.018,57.91192
0.0185,56.11133
0.019,27.26524
0.0195,48.89676
0.02,57.91192
0.0205,63.31981
0.021,27.26524
0.0215,29.06583
0.022,48.89676
0.0225,57.91192
0.023,59.71251
0.0235,27.26524
0.024,41.68828
0.0245,57.91192
0.025,63.31981
0.0255,47.09616
0.026,30.86642
0.0265,48.89676
0.027,56.11133
0.0275,59.71251
0.028,30.86642
0.0285,34.47371
0.029,43.48888
0.0295,57.91192
0.03,50.70345
0.0305,27.26524
0.031,45.28947
0.0315,52.50404
0.032,63.31981
0.0325,29.06583
0.033,38.08099
0.0335,52.50404
0.034,63.31981
0.0345,36.2804
0.035,23.65795
0.0355,41.68828
0.036,59.71251
0.0365,63.31981
0.037,27.26524
0.0375,32.67311
0.038,57.91192
0.0385,63.31981
0.039,34.47371
0.0395,30.86642
0.04,50.70345
0.0405,59.71251
0.041,57.91192
0.0415,27.26524
0.042,36.2804
0.0425,57.91192
0.043,65.1265
0.0435,29.06583
0.044,32.67311
0.0445,52.50404
0.045,63.31981
0.0455,61.51921
0.046,27.26524
0.0465,41.68828
0.047,56.11133
0.0475,63.31981
0.048,29.06583
0.0485,25.45854
0.049,54.30463
0.0495,59.71251
0.05,38.08099
0.0505,25.45854
0.051,48.89676
0.0515,56.11133
0.052,63.31981
0.0525,27.26524
0.053,30.86642
0.0535,52.50404
0.054,59.71251
0.0545,63.31981
0.055,27.26524
0.0555,41.68828
0.056,57.91192
0.0565,59.71251
0.057,43.48888
0.0575,30.86642
0.058,52.50404
0.0585,56.11133
0.059,59.71251
0.0595,29.06583
0.06,36.2804
0.0605,54.30463
0.061,59.71251
0.0615,41.68828
0.062,27.26524
0.0625,41.68828
0.063,59.71251
0.0635,65.1265
0.064,34.47371
0.0645,29.06583
0.065,50.70345
0.0655,59.71251
0.066,57.91192
0.0665,23.65795
0.067,34.47371
0.0675,50.70345
0.068,65.1265
0.0685,41.68828
0.069,23.65795
0.0695,45.28947
0.07,56.11133
0.0705,63.31981
0.071,27.26524
0.0715,32.67311
0.072,50.70345
0.0725,63.31981
0.073,32.67311
0.0735,29.06583
0.074,50.70345
0.0745,57.91192
0.075,65.1265
0.0755,27.26524
0.076,36.2804
0.0765,54.30463
0.077,65.1265
0.0775,29.06583
0.078,27.26524
0.0785,43.48888
0.079,57.91192
0.0795,59.71251
0.08,27.26524
0.0805,38.08099
0.081,52.50404
0.0815,65.1265
0.082,29.06583
0.0825,29.06583
0.083,45.28947
0.0835,57.91192
0.084,50.70345
0.0845,30.86642
0.085,34.47371
0.0855,50.70345
0.086,63.31981
0.0865,41.68828
0.087,30.86642
0.0875,50.70345
0.088,57.91192
0.0885,57.91192
0.089,23.65795
0.0895,38.08099
0.09,57.91192
0.0905,63.31981
0.091,29.06583
0.0915,27.26524
0.092,54.30463
0.0925,57.91192
0.093,45.28947
0.0935,25.45854
0.094,41.68828
0.0945,52.50404
0.095,63.31981
0.0955,23.65795
0.096,29.06583
0.0965,52.50404
0.097,59.71251
0.0975,50.70345
0.098,23.65795
0.0985,41.68828
0.099,54.30463
0.0995,61.51921
0.1,27.26524
0.1005,29.06583
0.101,48.89676
0.1015,59.71251
0.102,59.71251
0.1025,23.65795
0.103,45.28947
0.1035,52.50404
0.104,63.31981
0.1045,27.26524
0.105,25.45854
0.10550001,52.50404
0.10600001,59.71251
0.10650001,56.11133
0.10700001,25.45854
0.10750001,36.2804
0.10800001,54.30463
0.10850001,59.71251
0.10900001,36.2804
