file name, L_c(m), L_c error (m), ls linewidth (m), ls error (m), fft linewidth(m), fft error(m)
Laser+Blue1.csv, -2.561e-04, 4.011e-05, -8.743e-10, 1.399e-10, -9.257e-10, 1.852e-10
Laser+Blue2.csv, -5.066e-05, 3.679e-06, -4.586e-09, 3.768e-10, -1.818e-09, 1.578e-10
Laser+Blue3.csv, 4.132e-05, 1.869e-06, 5.448e-09, 3.033e-10, 5.579e-09, 1.250e-09
Laser+Blue4.csv, -5.493e-05, 4.411e-06, -4.214e-09, 3.656e-10, -1.918e-09, 2.027e-10
Laser+Blue5.csv, -5.779e-05, 4.407e-06, -4.012e-09, 3.523e-10, -2.472e-09, 3.231e-10
Laser+Orange1.csv, -1.776e-04, 3.363e-05, -4.555e-09, 8.794e-10, -7.736e-09, 1.539e-09
Laser+Orange2.csv, -1.823e-04, 5.123e-05, -4.563e-09, 1.297e-09, -5.847e-09, 1.694e-09
Laser+Orange3.csv, 1.419e-04, 1.666e-05, 5.540e-09, 7.096e-10, 3.013e-09, 4.375e-10
Laser+Orange4.csv, -3.792e-04, 1.020e-04, -2.226e-09, 6.060e-10, -4.048e-09, 1.115e-09
Laser+Orange5.csv, -9.968e-05, 9.541e-06, -8.356e-09, 8.717e-10, -6.924e-09, 8.071e-10
Laser+Red1.csv, 8.655e-05, 1.262e-05, 4.864e-09, 7.221e-10, 1.049e-08, 3.420e-09
Laser+Red2.csv, 5.746e-05, 4.715e-06, 7.559e-09, 6.540e-10, 1.147e-08, 2.021e-09
Laser+Red3.csv, 4.651e-05, 3.300e-06, 9.147e-09, 6.991e-10, 1.378e-08, 1.234e-09
Laser+Red4.csv, 5.825e-05, 6.024e-06, 7.461e-09, 8.020e-10, 2.330e-09, 2.741e-10
Laser+Red5.csv, 1.174e-04, 2.633e-05, 3.472e-09, 7.843e-10, 4.336e-09, 9.980e-10
Laser+White1.csv, 3.450e-05, 2.483e-06, 1.030e-08, 1.066e-08, 1.354e-07, 1.129e-06
Laser+White2.csv, 6.042e-05, 9.804e-06, 5.500e-09, 1.906e-09, 7.723e-09, 2.513e-09
Laser+White3.csv, 1.027e-04, 5.644e-05, 3.552e-09, 1.987e-09, 6.635e-09, 4.563e-09
Laser+White4.csv, 6.505e-05, 1.190e-05, 5.183e-09, 1.718e-09, 3.444e-09, 1.270e-09
Laser+White5.csv, -7.247e-05, 2.185e-05, -5.122e-09, 1.626e-09, -3.703e-09, 1.924e-09
Laser+Lamp1.csv, 6.836e-05, 3.214e-05, 1.300e-08, 6.349e-09, 1.773e-08, 9.238e-09
Laser+Lamp2.csv, 5.759e-05, 1.100e-05, 1.653e-08, 4.011e-09, 2.572e-08, 8.133e-09
Laser+Lamp3.csv, 5.523e-05, 8.345e-06, 1.765e-08, 3.453e-09, 1.793e-08, 4.730e-09
Laser+Lamp4.csv, 3.942e-05, 6.131e-06, 2.412e-08, 4.903e-09, 2.454e-08, 5.908e-09
Laser+Lamp5.csv, 5.167e-05, 7.178e-06, 1.882e-08, 3.706e-09, 6.036e-09, 1.260e-09
